Date,MSCISG Index,Bond 3-5Y TR Index Level,Bond 10Y+ TR Index Level
7/31/2012,1640.75,100.0289,99.8474
8/31/2012,1622.13,100.3995,101.4494
9/28/2012,1641.95,100.8836,100.9062
10/31/2012,1607.41,102.0038,101.5097
11/30/2012,1633.97,102.0869,101.6696
12/31/2012,1678.86,102.7031,102.3755
1/31/2013,1724.52,103.0863,101.3599
2/28/2013,1724.66,103.6332,101.5243
3/29/2013,1752.53,104.3387,102.2074
4/30/2013,1787.71,105.0415,104.8215
5/31/2013,1731.36,104.5724,104.2978
6/28/2013,1654.73,101.7628,99.4309
7/31/2013,1719.9,102.8164,98.6787
8/30/2013,1611.7,103.0462,98.7457
9/30/2013,1689.69,103.969,101.7974
10/31/2013,1728.9,105.1938,103.3577
11/29/2013,1719.99,105.2071,102.0312
12/31/2013,1704.49,105.1896,102.4096
1/31/2014,1610.87,105.9468,104.2871
2/28/2014,1649.17,106.529,104.995
3/31/2014,1679.3,107.0923,105.5762
4/30/2014,1725.62,107.9841,106.1237
5/30/2014,1746.21,108.8325,107.4197
6/30/2014,1732.8,109.7769,107.9656
7/31/2014,1803.96,110.3678,109.6505
8/29/2014,1764.53,110.3932,108.8481
9/30/2014,1729.58,110.7781,109.1601
10/31/2014,1720.94,110.8941,109.1383
11/28/2014,1765.19,111.4716,109.282
12/31/2014,1778.96,111.8573,109.2403
1/30/2015,1776.71,112.6698,109.3385
2/27/2015,1784.22,113.0968,110.1957
3/31/2015,1802.81,113.1206,110.2405
4/30/2015,1841.19,113.6744,110.7699
5/29/2015,1769.46,113.8855,111.3798
6/30/2015,1742.84,113.9951,111.1394
7/31/2015,1674.09,114.4613,111.5227
8/31/2015,1515.14,114.4087,110.1137
9/30/2015,1459.36,114.1966,111.0301
10/30/2015,1571.36,114.5389,111.1868
11/30/2015,1493.16,114.6772,111.9553
12/31/2015,1507.81,114.8565,111.3342
1/29/2016,1375.1,115.008,107.5327
2/29/2016,1403.31,115.0148,110.0701
3/31/2016,1500.11,116.5436,108.2105
4/29/2016,1491.8,116.5471,109.2938
5/31/2016,1452.11,116.9618,110.467
6/30/2016,1481.55,117.5019,111.288
7/29/2016,1479.66,118.4119,112.2079
8/31/2016,1448.88,119.1401,112.167
9/30/2016,1472.67,119.8029,112.966
10/31/2016,1441.18,120.1444,113.8825
11/30/2016,1514.46,118.8705,112.1688
12/30/2016,1496.2,119.0348,111.4177
1/31/2017,1579.42,120.3946,113.1389
2/28/2017,1603.99,121.2113,114.0844
3/31/2017,1638.11,121.8713,114.0508
4/28/2017,1636.28,122.6489,115.6229
5/31/2017,1666.05,123.2961,116.6076
6/30/2017,1677.24,123.767,116.2815
7/31/2017,1737.27,124.2307,116.6493
8/31/2017,1704.73,125.2412,117.698
9/29/2017,1681.08,125.8865,118.0606
10/31/2017,1770.49,126.1782,118.4888
11/30/2017,1815.68,126.4283,120.1029
12/29/2017,1811.31,126.4314,120.282
1/31/2018,1886.25,126.3309,120.6938
2/28/2018,1867.42,125.843,119.3081
3/30/2018,1823.82,125.644,120.304
4/30/2018,1943.58,125.3512,119.207
5/31/2018,1822.86,125.4962,118.0016
6/29/2018,1719.98,125.4564,118.6186
7/31/2018,1736.47,126.3386,119.0426
8/31/2018,1699.98,127.2519,119.1936
9/28/2018,1729.07,126.9167,118.9077
10/31/2018,1600.99,126.7452,119.3978
11/30/2018,1631.97,126.9511,120.6127
12/31/2018,1602.3,127.8469,119.6507
1/31/2019,1670.29,128.0612,121.121
2/28/2019,1674.68,128.6241,121.2115
3/29/2019,1689.56,129.5198,121.5358
4/30/2019,1799.51,130.0567,122.1406
5/31/2019,1630.43,130.8821,123.5012
6/28/2019,1767.58,131.4974,125.0059
7/31/2019,1762.27,132.3406,126.0995
8/30/2019,1661.64,132.8016,128.7181
9/30/2019,1675.71,133.1038,129.8497
10/31/2019,1737.35,133.6781,130.1693
11/29/2019,1717.53,134.1557,131.3572
12/31/2019,1738.92,134.8974,131.8701
1/31/2020,1701.65,135.8024,133.8311
2/28/2020,1615.89,136.4137,134.5462
3/31/2020,1320.1,131.8748,129.2407
4/30/2020,1414.01,132.4074,129.3554
5/29/2020,1358.26,133.922,131.1933
6/30/2020,1388.05,135.4495,136.2491
7/31/2020,1361.19,136.2525,137.3695
8/31/2020,1362.71,136.5698,136.0885
9/30/2020,1325.94,137.7655,139.7277
10/30/2020,1287.59,138.6692,140.2275
11/30/2020,1496.53,139.4788,142.5446
12/31/2020,1515.72,140.2828,142.6241
1/29/2021,1535.63,141.032,142.1412
2/26/2021,1578.56,140.7887,139.8815
3/31/2021,1675.65,141.042,138.452
4/30/2021,1704.49,139.6131,139.8367
5/31/2021,1676.69,140.0589,141.2176
6/30/2021,1662.4,140.3068,142.0707
7/30/2021,1696.76,141.1675,143.2704
8/31/2021,1645.53,142.5558,142.7259
9/30/2021,1658.01,142.3127,142.1912
10/29/2021,1715.89,141.7231,139.8517
11/30/2021,1608.38,142.3931,140.4451
12/31/2021,1582.16,142.7408,140.4952
1/31/2022,1569.95,142.1647,138.7461
2/28/2022,1555.71,141.3525,137.1256
3/31/2022,1559.15,139.6647,133.1361
4/29/2022,1461.99,139.4011,130.6308
5/31/2022,1398.88,139.3537,129.554
6/30/2022,1313.98,138.4186,127.3191
7/29/2022,1383.18,137.9628,128.8736
8/31/2022,1353.61,138.3608,128.7804
9/30/2022,1317.6,136.2134,125.183
10/31/2022,1298.47,135.0012,118.2817
11/30/2022,1394.71,135.1689,118.5597
12/30/2022,1352.15,136.4515,119.0303
1/31/2023,1423.92,138.3948,120.8042
2/28/2023,1380.37,139.0561,121.3356
3/31/2023,1431.64,137.1309,122.4517
4/28/2023,1410.74,139.3817,124.1791
5/31/2023,1326.16,140.9279,123.593
6/30/2023,1347.33,141.8104,124.9041
7/31/2023,1445.22,142.8465,125.8233
8/31/2023,1322.05,143.135,126.2573
9/29/2023,1330.86,143.4621,124.5622
10/31/2023,1273.35,143.6233,124.7833
11/30/2023,1261.06,145.6089,129.0944
12/29/2023,1335.38,147.046,130.4771
1/31/2024,1293.06,147.5783,133.9768
2/29/2024,1309.38,147.9859,134.2758
3/29/2024,1364.63,148.397,135.464
4/30/2024,1421.58,149.1778,135.6855
5/31/2024,1447.33,150.4119,136.3
6/28/2024,1463.46,150.1826,136.544
7/31/2024,1487.48,151.2786,136.6527
8/30/2024,1498.38,153.1786,137.446
9/30/2024,1594.93,155.8322,141.0424
10/31/2024,1590.68,156.2748,141.1634
11/29/2024,1730.63,156.2839,141.2981
12/31/2024,1740.68,156.6006,141.6625
1/31/2025,1808.09,156.5005,141.4987
2/28/2025,1846.82,157.6977,142.2893
3/31/2025,1875.67,158.3967,143.4804
4/30/2025,1816.99,158.4521,144.4491
5/30/2025,1900.51,160.2341,145.593
6/30/2025,1914.97,161.9895,150.7339
7/31/2025,1985.48,164.6342,154.0938
8/29/2025,2074.76,166.0979,155.4623
9/30/2025,2078.53,167.4285,157.4778
10/31/2025,2090.99,167.1712,157.1853
11/28/2025,2074.1,167.2548,157.547
12/31/2025,2083.08,167.2937,155.8805
1/30/2026,2136.78,167.2092,155.3885
2/27/2026,2143.28,168.6188,157.1663
3/31/2026,2066.28,167.0158,156.4772
4/30/2026,2077.53,168.8114,157.1902
5/29/2026,2147.36,169.1574,157.3406
6/30/2026,2236.76,169.979,158.1973
7/31/2026,2445.6,169.971,158.344
